hin_Deva,sat_Olck
शायद तुम्हें यह अच्छा लगता है क्योंकि तुम बहुत घूमते रहते हो; मेरे मामले में यह सब बस काल्पनिक जानकारी है।,"ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱱᱚᱶᱟᱫᱚ ᱟᱢᱮ ᱨᱤᱡᱷᱟᱹᱣ ᱢᱮᱭᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱟᱢᱫᱚ ᱟᱹᱰᱤ ᱟᱴᱮᱢ ᱥᱟᱸᱜᱷᱟᱨᱼᱟ ; ᱤᱧᱟᱹᱜ ᱡᱚᱠᱷᱮᱡᱽ ᱫᱚ, ᱮᱴᱟᱜ ᱥᱮᱡᱽᱛᱮ, ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱥᱟᱱᱟᱢ ᱩᱭᱦᱟᱹᱨᱟᱱᱟᱜ ᱛᱮᱛᱮᱫ ᱠᱟᱱᱟ ᱾"
"इसके अलावा, हमारे पाठ्यक्रम के अनुसार हमें भारत का भूगोल पढ़ाया जाता है और तुम लोगों को शायद दुनिया की सबसे अच्छी जगहों के बारे में पढ़ाया जाता है!","ᱱᱚᱶᱟ ᱪᱷᱟᱰᱟ ᱠᱟᱛᱮᱜ ᱦᱚᱸ, ᱟᱞᱮᱭᱟᱜ ᱯᱚᱲᱦᱚᱱ ᱨᱮᱭᱟᱜ ᱦᱤᱸᱥ ᱞᱮᱠᱟᱛᱮ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛᱱᱚᱜ ᱢᱮᱱᱟᱜᱼᱟ, ᱟᱨ ᱟᱯᱮ ᱠᱚᱫᱚ ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱮᱥ ᱴᱷᱟᱶᱨᱮ ᱯᱮ ᱯᱟᱲᱦᱟᱜ ᱠᱟᱱᱟ ᱾"
हमारे लिए यह बहुत अलग है!,ᱟᱞᱮ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱶᱟᱫᱚ ᱵᱷᱮᱜᱟᱨ ᱜᱮᱭᱟ ᱾
"मैं समझता हूँ कि तुम्हारे लिए यह थोड़ा अलग है, लेकिन तुम कुछ चुनिंदा विषयों पर थोड़े वीडियो देख सकती हो, उससे भी तुम्हें थोड़ी जानकारी मिलेगी।","ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟ ᱱᱚᱶᱟᱫᱚ ᱱᱟᱥᱮ ᱵᱷᱮᱜᱟᱨ ᱜᱮᱭᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱟᱢ ᱵᱟᱪᱷᱟᱣ ᱟᱠᱟᱱ ᱥᱟᱛᱟᱢ ᱠᱷᱚᱱ ᱠᱤᱪᱷᱤ ᱵᱷᱤᱰᱚᱭᱳ ᱧᱮᱞ ᱨᱮᱭᱟᱜ ᱮᱢ ᱨᱤᱠᱟᱹ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ, ᱚᱱᱟ ᱡᱟᱦᱟᱱᱟᱜ ᱦᱩᱰᱤᱥᱮ ᱮᱢᱚᱜᱼᱟ ᱾"
मैंने पहले कुछ इसी तरह से शुरुआत की थी और फिर दूसरे रास्ते खोजे।,ᱤᱧᱫᱚ ᱢᱤᱫ ᱞᱮᱠᱟᱛᱮ ᱮᱦᱚᱵ ᱨᱮ ᱮᱦᱚᱵ ᱞᱮᱫᱟ ᱟᱨ ᱤᱱᱟᱹ ᱛᱟᱭᱚᱢ ᱫᱚᱥᱟᱨ ᱦᱚᱨᱟᱧ ᱯᱟᱸᱡᱟ ᱧᱟᱢ ᱞᱮᱫᱟ ᱾
यह काफी कुछ ऑडियो-विज़ुअल जैसी चीज है।,ᱱᱚᱶᱟᱫᱚ ᱚᱰᱤᱭᱳ ᱵᱷᱤᱡᱩᱣᱟᱞ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱜᱮᱭᱟ ᱾
अगर तुम चाहो तो मैं इसमें तुम्हारी मदद कर सकता हूँ।,ᱟᱢᱮᱢ ᱠᱷᱚᱡᱽ ᱠᱷᱟᱱ ᱱᱚᱶᱟᱨᱮ ᱟᱢᱤᱧ ᱜᱚᱲᱚ ᱟᱢᱟ ᱾
"हाँ, मुझे लगता है कि मुझे ऐसा करना अच्छा लगेगा।","ᱦᱮ, ᱤᱧ ᱚᱱᱟᱢᱟᱱ ᱮᱫᱟ ᱤᱧ ᱱᱚᱶᱟᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾"
क्या तुम्हें लगता है कि इतना घूमने फिरने के कारण तुम्हें यह विषय पसंद आने लगा या फिर इसका उल्टा है?,ᱟᱢᱮᱢ ᱢᱚᱱᱮᱭᱟ ᱵᱟᱹᱲᱛᱤ ᱥᱟᱸᱜᱷᱟᱨ ᱫᱚ ᱟᱢᱟᱜ ᱠᱩᱥᱤᱭᱟᱜ ᱥᱟᱛᱟᱢ ᱪᱮᱛᱟᱱ ᱠᱩᱥᱤᱭ ᱯᱷᱚᱴᱮᱞ ᱟᱠᱟᱫᱟ ᱥᱮ ᱱᱚᱶᱟ ᱮᱴᱟᱜ ᱞᱮᱠᱟ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?
"मेरा मतलब है कि जब तुम यात्राओं पर निकलते हो तो क्या मौसम की स्थितियों, जगहों, इमारतों, और ऐसी कितनी ही चीजों के बारे में यह सब जानकारी तुम्हारे काम आती है?","ᱤᱧ ᱞᱟᱹᱭ ᱟᱪᱚᱭᱮᱫᱟ, ᱟᱢ ᱡᱚᱠᱷᱚᱱ ᱡᱟᱭᱜᱟᱠᱚᱢ ᱯᱟᱸᱡᱟᱭᱟ ᱩᱱᱡᱚᱠᱷᱚᱱ ᱦᱚᱭᱦᱤᱥᱤᱫ ᱨᱮᱭᱟᱜ ᱦᱟᱞᱚᱛ,ᱴᱷᱟᱶ,ᱜᱚᱲᱦᱚᱱ ᱟᱨ ᱪᱮᱫ ᱠᱟᱹᱢᱤᱨᱮ ᱞᱟᱜᱟᱜᱼᱟ ᱥᱮ ᱵᱟᱝ ᱚᱱᱟ ᱵᱟᱨᱮᱛᱮᱱᱟᱜ ᱥᱟᱱᱟᱢ ᱰᱚᱜᱚᱨ ᱠᱚᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ ?"
"विशेष रूप से भारत में, जहां देखने लायक शायद ही कुछ है!",ᱠᱷᱟᱥ ᱠᱟᱨᱛᱮ ᱵᱷᱟᱨᱚᱛᱨᱮ ᱡᱟᱦᱟᱸᱨᱮ ᱧᱮᱞ ᱞᱮᱠᱟᱱᱟᱜ ᱠᱷᱟᱥ ᱫᱚ ᱵᱟᱹᱱᱩᱜᱼᱟ !
ऐसी बात नहीं है।,ᱱᱚᱶᱟᱫᱚ ᱟᱥᱚᱞᱨᱮ ᱜᱷᱚᱴᱚᱱ ᱵᱟᱝ ᱠᱟᱱᱟ ᱾
"भारत में देखने लायक बहुत कुछ है, कई बड़े जलाशय, पहाड़ियाँ और मैदानी इलाके तुम्हें भारत में भी मिलेंगे।","ᱵᱷᱟᱨᱚᱛᱨᱮ ᱟᱞᱮᱠᱚ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱠᱤᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱵᱟᱹᱲᱛᱤᱜᱮ ᱢᱩᱲᱩᱫ ᱫᱟᱜ ᱥᱚᱸᱛᱟᱞ, ᱵᱩᱨᱩ ᱟᱨ ᱢᱮᱞᱟᱱ ᱚᱛᱮᱫ ᱟᱢ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱦᱚᱢ ᱧᱟᱢᱟ ᱾"
"उदाहरण के तौर पर अलग-अलग हिमालय पर्वतमालाएँ जो अलग अलग राज्यों से देखी जा सकती हैं, जैसे कि कंचनजंगा, तथा और भी कई हैं जो अपने आप में अनूठी हैं और हर पर्वतमाला की अपनी विशेषताएं हैं।","ᱡᱮᱢᱚᱱ ᱫᱟᱹᱭᱠᱟᱹ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱵᱽ ᱢᱮ ᱦᱤᱢᱟᱞᱚᱭ ᱨᱟᱛᱟᱝᱵᱩᱨᱩ ᱟᱢ ᱟᱭᱢᱟ ᱯᱚᱱᱚᱛ ᱠᱷᱚᱱᱮᱢ ᱧᱮᱞ ᱧᱟᱢᱟ ᱡᱮᱞᱮᱠᱟ ᱠᱟᱧᱪᱚᱱᱡᱚᱝᱜᱷᱟ, ᱟᱨ ᱟᱨᱦᱚᱸ ᱟᱭᱢᱟ ᱠᱤᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱢᱤᱫ ᱞᱮᱠᱟᱱᱟᱜ ᱟᱨ ᱥᱟᱱᱟᱢ ᱨᱮᱧᱡᱽ ᱨᱮᱭᱟᱜ ᱟᱯᱱᱟᱨ ᱜᱩᱱᱠᱚ ᱦᱟᱹᱴᱤᱧ ᱮᱫ ᱞᱮᱠᱟᱱ ᱾"
जलाशय भी कई स्थानों में विभाजित हो कर डेल्टा और द्वीप बना देते हैं।,ᱫᱟᱜ ᱥᱚᱛᱟᱞ ᱠᱚᱦᱚᱸ ᱵᱮᱥ ᱠᱤᱪᱷᱤ ᱴᱷᱟᱶᱨᱮ ᱦᱟᱹᱴᱤᱧ ᱨᱮᱭᱟᱜ ᱡᱷᱩᱸᱠ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨᱛᱮ ᱵᱚᱼᱰᱷᱤᱯ ᱟᱨ ᱰᱷᱤᱯᱠᱚ ᱵᱮᱱᱟᱜᱼᱟ ᱾
भूमि के उन टुकड़ों की अपनी अनोखी विशेषताएं होती हैं।,ᱚᱱᱟᱠᱚ ᱚᱛᱮᱫ ᱨᱮᱭᱟᱜ ᱟᱱᱯᱱᱟᱨ ᱠᱤᱪᱷᱤ ᱵᱷᱮᱜᱟᱨ ᱜᱩᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱾
शायद तुम सही हो! मुझे मिस ली की भारत के भूगोल की क्लास याद है और कैसे उन्होंने हमारे लिए एक रोचक तस्वीर गढ़ी थी।,"ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱢᱮᱢ ᱥᱟᱹᱨᱤᱜᱮᱭᱟ ! ᱤᱧ ᱫᱤᱥᱟᱹᱭᱮᱫᱟ ᱵᱷᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛᱱᱚᱜ ᱪᱮᱛᱟᱱ ᱢᱤᱥᱥ ᱞᱤᱭᱟᱼᱟᱜ ᱠᱞᱟᱥ, ᱟᱨ ᱩᱱᱤ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱟᱞᱮ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱨᱤᱡᱷᱟᱹᱣᱱᱟ ᱪᱤᱛᱟᱹᱨᱮ ᱠᱷᱚᱫᱟ ᱞᱮᱫᱟ ᱾"
यह बस विषय को और रोचक बनाने के लिए अलग-अलग तरीके और चालें इस्तेमाल करने के बारे में है।,ᱟᱢ ᱟᱢᱛᱮᱜᱮ ᱟᱭᱢᱟ ᱴᱤᱯᱥ ᱟᱨ ᱠᱟᱹᱭᱫᱩᱥ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮᱜ ᱥᱟᱛᱟᱢ ᱛᱮᱫ ᱟᱨᱦᱚᱸ ᱨᱤᱡᱷᱟᱹᱣ ᱟᱱᱟᱜ ᱮᱢ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
मुझे बहुत दिनों तक घर से बाहर रहना पसंद नहीं है लेकिन मैं अपना दिमाग खुला रखने की और तुम्हारे नज़रिए से चीज़ों को देखने की कोशिश करूंगी।,ᱤᱧᱫᱚ ᱠᱤᱪᱷᱤ ᱫᱤᱱ ᱞᱟᱹᱜᱤᱫ ᱚᱲᱟᱜ ᱵᱟᱹᱜᱤ ᱠᱟᱴᱮᱜ ᱥᱮᱱᱚ ᱫᱚ ᱵᱟᱹᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱮᱱᱠᱷᱟᱱ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱤᱧ ᱨᱟᱲᱟ ᱢᱚᱱᱛᱮ ᱛᱟᱦᱮᱱ ᱨᱮᱭᱟᱜ ᱤᱧ ᱨᱤᱠᱟᱹᱭᱟ ᱟᱨ ᱟᱢ ᱞᱮᱠᱟ ᱡᱤᱱᱤᱥ ᱠᱚ ᱧᱮᱞ ᱨᱮᱭᱟᱜ ᱤᱧ ᱨᱤᱠᱟᱹᱭᱟ ᱾
ये शो और फिल्में मेरे काम आ सकती हैं।,ᱱᱚᱶᱟ ᱥᱳ ᱟᱨ ᱥᱤᱱᱟᱹᱢᱟ ᱫᱚ ᱟᱞᱜᱟᱛᱮ ᱦᱮᱡᱽ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
"बहुत अच्छा बोले, यार! बहुत बहुत धन्यवाद!","ᱱᱟᱯᱟᱭ ᱠᱟᱛᱷᱟ, ᱦᱳ ! ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ !"
वेलकम।,ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱾
"हैलो, मैं यूनिवर्सिटी होस्टल से ज़ेड स्क्वायर मॉल जाने के लिए कैब बुक करने के लिए कॉल कर रही हूँ।","ᱦᱮᱞᱳ, ᱤᱧ ᱫᱚ ᱡᱮᱜᱮᱫᱽᱵᱤᱫᱫᱟᱹᱜᱟᱲ ᱠᱷᱚᱱ ᱡᱮᱴ ᱥᱠᱩᱭᱮᱨ ᱢᱚᱞ ᱫᱷᱟᱹᱵᱤᱡᱽ ᱤᱫᱤᱭᱤᱧ ᱞᱟᱹᱜᱤᱫᱽ ᱢᱤᱫᱴᱟᱝ ᱠᱮᱵᱽ ᱵᱩᱠᱤᱝ ᱵᱟᱵᱚᱫᱽᱤᱧ ᱦᱚᱦᱚᱭᱮᱫᱽᱠᱟᱱ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾"
मुझे कितनी देर में मिल सकती है?,ᱛᱤᱱᱟᱹᱜ ᱩᱥᱟᱹᱨᱟ ᱤᱧᱫᱚ ᱢᱤᱫᱽᱴᱟᱝᱤᱧ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?
मैं आपके पते पर अपना एक ड्राइवर तुरंत भेज सकती हूँ।,ᱤᱧ ᱫᱚ ᱟᱹᱰᱤ ᱩᱥᱟᱹᱨᱟ ᱟᱢᱟᱜᱽ ᱴᱷᱤᱠᱟᱹᱱᱟᱨᱮ ᱟᱞᱮᱨᱮᱢ ᱢᱤᱫᱴᱟᱝ ᱰᱨᱟᱭᱵᱷᱟᱨᱤᱧ ᱠᱩᱞᱫᱟᱲᱮᱣᱟᱭᱟ ᱾
आपको कहाँ से पिक अप करना है?,ᱚᱠᱟ ᱠᱷᱚᱱᱮ ᱫᱮᱡᱽᱢᱮᱭᱮᱢ ᱠᱷᱚᱡ ᱠᱟᱱᱟ ?
मैं मेन कैम्पस में वेट करूँगी जो एंट्रेंस के बिल्कुल पास है।,ᱤᱧ ᱫᱚ ᱢᱩᱞ ᱠᱮᱢᱯᱟᱥᱨᱮᱧ ᱛᱟᱹᱜᱤᱭᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱵᱚᱞᱚᱱ ᱜᱮᱴ ᱠᱷᱚᱱ ᱟᱹᱰᱤᱜᱤ ᱥᱩᱨ ᱜᱮᱭᱟ ᱾
सिक्योरिटी गार्ड बिना किसी समस्या के आपको अंदर आने देगा।,ᱥᱮᱠᱩᱴᱤᱨᱤ ᱫᱚ ᱡᱟᱦᱟᱸᱱ ᱟᱱᱟᱴ ᱪᱷᱟᱰᱟᱜᱤᱭ ᱵᱚᱞᱚ ᱩᱪᱩᱣᱟᱢᱟ ᱾
"ओके, क्या कैब कैम्पस के अंदर आ सकती है?","ᱴᱷᱤᱠᱜᱮᱭᱟ, ᱠᱮᱵ ᱫᱚ ᱠᱮᱢᱯᱟᱥ ᱵᱷᱤᱛᱨᱤᱨᱮᱭ ᱵᱚᱞᱚᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ?"
क्या इसकी अनुमति है?,ᱚᱱᱟ ᱫᱚ ᱜᱟᱱᱚᱜᱽᱜᱮᱭᱟ ?
हम एक बार किसी दूसरी यूनिवर्सिटी में मुसीबत में पड़ गए थे; मैं बस श्योर होने के लिए पूछ रही हूँ।,ᱟᱞᱮ ᱫᱚ ᱢᱤᱫᱽᱫᱷᱟᱣ ᱮᱴᱟᱜ ᱡᱮᱜᱮᱫᱽᱵᱤᱫᱫᱟᱹᱜᱟᱲᱨᱮ ᱟᱱᱟᱴᱨᱮᱞᱮ ᱯᱟᱲᱟᱣᱞᱮᱱᱟ; ᱤᱧ ᱫᱚ ᱴᱷᱟᱹᱣᱠᱟᱹᱭ ᱞᱟᱹᱜᱤᱫᱽᱛᱮᱧ ᱠᱩᱞᱤᱠᱟᱱᱟ ᱾
अगर उन्हें पहले से बता दिया जाए तो कोई परेशानी नहीं है।,"ᱛᱤᱱ ᱦᱟᱹᱵᱤᱡᱽ ᱩᱝᱠᱩ ᱫᱚ ᱞᱟᱦᱟ ᱠᱷᱚᱱ ᱵᱟᱝᱠᱩ ᱵᱟᱰᱟᱭᱩᱪᱩᱜᱽᱠᱟᱱᱟ, ᱚᱱᱟ ᱫᱚ ᱵᱷᱟᱜᱤ ᱾"
मैंने उन्हें अभी बता दिया है तो आपको अंदर आने में कोई परेशानी नहीं होगी।,ᱤᱧ ᱫᱚ ᱩᱝᱠᱩ ᱱᱤᱛᱚᱜᱽᱤᱧ ᱵᱟᱰᱟᱭᱩᱪᱩᱭᱮᱫᱠᱩᱣᱟ ᱚᱱᱟᱛᱮ ᱟᱢ ᱫᱚ ᱡᱟᱦᱟᱸᱱ ᱟᱱᱟᱴ ᱪᱷᱟᱰᱟᱜᱤᱢ ᱵᱚᱞᱚ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱾
"ओके, क्या आप मुझे इस तरह का कोई डॉक्यूमेंट या स्क्रीनशॉट भेज सकती हैं?","ᱴᱷᱤᱠᱜᱮᱭᱟ, ᱟᱢ ᱠᱤ ᱱᱚᱣᱟ ᱥᱟᱹᱵᱤᱫᱽ ᱞᱟᱹᱜᱤᱫᱽ ᱡᱟᱦᱟᱸᱱ ᱰᱚᱠᱩᱢᱮᱱᱴ ᱫᱩᱨᱤᱵᱽ ᱥᱮ ᱥᱠᱨᱤᱱᱥᱦᱚᱨᱴᱮᱢ ᱠᱩᱞ ᱫᱟᱲᱮᱭᱟᱹᱧᱟ ?"
मैं आपको परेशान करने की माफी चाहती हूँ लेकिन यह कंपनी की पॉलिसी है।,"ᱟᱱᱟᱴ ᱩᱪᱩᱠᱮᱫᱽᱢᱮ ᱞᱟᱹᱜᱤᱫᱽ ᱤᱠᱟᱹᱧ ᱠᱷᱚᱡᱚᱜᱽ ᱠᱟᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱱᱤᱭᱟᱹ ᱫᱚ ᱠᱚᱢᱯᱟᱱᱤ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱠᱟᱱᱟ ᱾"
मेरे पास कैम्पस गाइडलाइन की कॉपी है जिसमें ऐसा लिखा है।,ᱠᱮᱢᱯᱟᱥ ᱩᱫᱩᱜᱽᱦᱚᱨᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱠᱚᱯᱤ ᱤᱧ ᱴᱷᱮᱱ ᱢᱮᱱᱟᱜᱽᱼᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱱᱟᱭ ᱞᱟᱹᱭᱟ ᱾
मैंने अभी आपको ये वॉट्सएप पर भेजा है।,ᱤᱧ ᱫᱚ ᱱᱤᱛᱜᱤ ᱚᱱᱟ ᱳᱣᱟᱴᱥᱮᱯ ᱨᱮᱧ ᱠᱩᱞᱟᱠᱟᱫᱽᱢᱮᱭᱟ ᱾
"ओके, यह चल जाना चाहिए।","ᱴᱷᱤᱠᱜᱮᱭᱟ, ᱚᱱᱟ ᱫᱚᱭ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱾"
भविष्य में सुविधा के लिए आप कैम्पस में हमारी सर्विस लेने के लिए ऐप का इस्तेमाल कर सकती हैं।,"ᱦᱟᱯᱮᱱᱨᱮ ᱥᱩᱵᱤᱫᱷᱟ ᱞᱟᱹᱜᱤᱫᱽ, ᱠᱮᱢᱯᱟᱥᱨᱮ ᱟᱞᱮᱭᱟᱜ ᱡᱚᱛᱱᱟᱣᱠᱩ ᱧᱟᱢ ᱞᱟᱹᱜᱤᱫᱽ ᱮᱯᱮᱢ ᱵᱮᱵᱚᱦᱟᱨ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱾"
इसका नाम है ट्रैवा-गो और यह गूगल प्ले स्टोर पर है।,ᱚᱱᱟ ᱫᱚ ᱴᱨᱟᱵᱷᱟᱼᱜᱳ ᱠᱩ ᱢᱮᱛᱟᱜᱽᱼᱟ ᱟᱨ ᱚᱱᱟ ᱫᱚ ᱜᱩᱜᱩᱞ ᱯᱞᱮᱥᱴᱳᱨᱨᱮ ᱧᱟᱢᱚᱜᱽᱼᱟ ᱾
इससे बहुत मदद मिल जाएगी।,ᱚᱱᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱟᱝ ᱪᱩᱠᱛᱤᱭᱨᱮᱭ ᱜᱚᱲᱚᱜᱽᱼᱟ ᱾
क्या आप होस्टल की जगह जानती हैं?,ᱟᱢ ᱫᱚ ᱪᱮᱫᱽ ᱦᱳᱥᱴᱮᱞ ᱨᱮᱭᱟᱜ ᱦᱩᱫᱤᱥᱴᱷᱤᱠᱟᱹᱱᱟ ᱵᱟᱵᱚᱫᱽᱮᱢ ᱵᱟᱰᱟᱭᱟ ?
मैं यहाँ नई हूँ तो मुझे बहुत ज़्यादा पता नहीं है।,"ᱤᱧ ᱫᱚ ᱱᱚᱣᱟ ᱮᱞᱟᱠᱟᱨᱮᱧ ᱱᱟᱣᱟᱜᱮᱭᱟ, ᱚᱱᱟᱛᱮ ᱤᱧ ᱫᱚᱧ ᱵᱚᱛᱚᱨᱚᱜᱽᱠᱟᱱᱟ ᱟᱨ ᱤᱧᱟᱜᱽ ᱡᱟᱹᱥᱛᱤ ᱫᱷᱟᱨᱚᱱᱟ ᱦᱚᱸ ᱵᱟᱹᱱᱩᱜᱽᱛᱤᱧᱟ ᱾"
"लेकिन मैं मुझे लगता है कि आपको जो ड्राइवर दिया जाएगा, वो जानता होगा।",ᱢᱮᱱᱠᱷᱟᱱ ᱤᱧ ᱫᱚᱧ ᱴᱷᱟᱹᱣᱠᱟᱹᱭᱟ ᱰᱨᱟᱭᱵᱷᱟᱨ ᱡᱟᱦᱟᱸᱭ ᱟᱢ ᱞᱟᱹᱜᱤᱫᱽ ᱮᱢ ᱦᱩᱭᱟᱠᱟᱱ ᱫᱚ ᱚᱱᱟᱠᱩ ᱰᱟᱦᱟᱨᱮ ᱵᱟᱰᱟᱭᱟ ᱾
मैं आपको लोकेशन भेजूँगी अगर उन्हें नहीं पता हो तो।,ᱤᱧ ᱫᱚ ᱟᱢ ᱛᱩᱨᱟᱹᱱᱛ ᱞᱳᱠᱮᱥᱚᱱᱤᱧ ᱠᱩᱞᱟᱢᱟ ᱡᱩᱫᱤ ᱩᱱᱤ ᱫᱚ ᱚᱱᱟᱠᱩ ᱵᱟᱭ ᱠᱚᱨᱟᱣᱟ ᱾
क्या मुझे पैसे पहले या अपनी जगह पर पहुँच जाने पर देने होंगे?,ᱤᱧ ᱠᱤ ᱞᱟᱦᱟᱨᱮᱜᱤ ᱴᱟᱠᱟ ᱢᱮᱴᱟᱣ ᱦᱩᱭᱩᱜᱽᱛᱤᱧᱟ ᱥᱮ ᱡᱟᱭᱜᱟ ᱥᱮᱴᱮᱨᱠᱟᱛᱮᱧ ᱢᱮᱴᱟᱣᱟ ?
आप जैसा चाहें।,ᱚᱱᱟ ᱫᱚ ᱟᱢᱟᱜᱽ ᱠᱩᱥᱤ ᱾
आप या तो एडवांस में दे सकते हैं या पहुँचने पर दे सकते हैं।,ᱟᱢ ᱫᱚ ᱞᱟᱦᱟᱨᱮᱜᱤ ᱴᱟᱠᱟᱢ ᱢᱮᱴᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱵᱟᱝᱠᱷᱟᱱ ᱫᱮᱡᱽ ᱛᱟᱭᱚᱢ ᱦᱚᱸᱢ ᱢᱮᱴᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱾
"अगर आप चाहते हैं कि कैब आपका वेट करे, तो इसके एक्स्ट्रा पैसे लगेंगे।","ᱡᱩᱫᱤ ᱟᱢ ᱞᱟᱹᱜᱤᱫᱽ ᱠᱮᱵ ᱛᱟᱹᱜᱤᱭ ᱞᱟᱹᱜᱛᱤᱭᱟ, ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫᱽ ᱫᱚᱲᱦᱟᱛᱮ ᱴᱟᱠᱟ ᱞᱟᱜᱟᱜᱽᱼᱟ ᱾"
इसकी कोई ज़रूरत नहीं होगी।,ᱚᱱᱟ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱜᱛᱤ ᱵᱟᱹᱱᱩᱜᱽᱼᱟ ᱾
मैं दस मिनट में तैयार हो जाऊँगी तो मुझे उम्मीद है कि कैब तब तक आ जाएगी।,ᱤᱧ ᱫᱚ ᱑᱐ ᱴᱤᱲᱤᱡᱽᱨᱮᱧ ᱥᱟᱯᱲᱟᱜᱽᱼᱟ ᱟᱨ ᱤᱧ ᱫᱚᱧ ᱟᱥᱚᱜᱽᱼᱟ ᱡᱮ ᱠᱮᱵ ᱫᱚ ᱚᱱᱟ ᱛᱟᱭᱚᱢᱜᱤ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱾
"ओके, आपकी कैब 15 मिनट में आपकी लोकेशन पर पहुँच सकती है।","ᱴᱷᱤᱠᱜᱮᱭᱟ, ᱟᱢᱟᱜᱽ ᱠᱮᱵ ᱫᱚ ᱑᱕ ᱴᱤᱲᱤᱡᱽ ᱨᱮ ᱴᱷᱟᱹᱣᱠᱟᱹᱣᱟᱠᱟᱱ ᱞᱳᱠᱮᱥᱚᱱᱨᱮ ᱥᱮᱴᱮᱨᱚᱜᱽᱼᱟ ᱾"
हमारी कैब सर्विस का इस्तेमाल करने के लिए धन्यवाद।,ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ ᱟᱞᱮᱭᱟᱜᱽ ᱠᱮᱵ ᱵᱮᱵᱚᱦᱟᱨ ᱞᱟᱹᱜᱤᱫᱽᱛᱮ ᱾
"हैलो सर, मैं आदर्श की माँ हूँ।","ᱦᱮᱞᱳ ᱥᱮᱨ, ᱤᱧᱫᱚ ᱟᱫᱚᱨᱥ ᱟᱡᱽ ᱜᱚᱜᱚ ᱾"
